#{"t_start": 1682516285.427121, "env_id": null}
r,l,t
483.187551,38,1.981492
-372.405202,38,4.345317
74.891486,38,7.242856
-820.052264,11,7.926929
-5125.0,38,9.928608
-557.202542,30,11.856161
385.35767,6,12.078827
505.959283,7,12.275792
0.0,38,14.211679
1533.100778,26,15.23226
0.0,38,17.104582
-669.26077,38,18.680698
2144.944025,38,20.30286
1181.095593,16,20.872588
-242.424242,38,22.536571
-518.949213,38,25.005628
0.0,38,28.031557
-1349.912033,8,28.700504
-1856.232511,21,30.397698
